Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Mario Strikers: Battle League,2022-06-10,"Next Level Games, Nintendo",2.7,"Introducing Mario Strikers: Battle League, a 5-on-5, soccer-like sport with no rules - do whatever it takes to win! Get gritty and try to score the most goals by tackling enemies, using items, and pulling off score-boosting special shots. Super Mario series mainstays like Peach, Toad, and Yoshi put their cleats (and stats) to the pitch and will stop at nothing to score. Customize your characters with gear that can augment their stats and appearance. Take the carnage online or pass the ball to players locally - just look out for the electric fence.",Sport,,248,248,932,237,397
Limbus Company,2023-02-27,Project Moon,3.9,"Limbus Company is an upcoming Turn-Based Strategy RPG Gacha Game, serving as a sequel to Library of Ruina.",Adventure, RPG,24,24,104,55,61
Resident Evil Village: Winters' Expansion,2022-10-28,Capcom,3.3,"This expansion adds third person mode to the main campaign, new playable characters and stages to Mercenaries mode, and a story continuation called Shadows of Rose.",Shooter,,107,107,477,145,115
Tony Hawk's Pro Skater 1+2,2020-09-04,"Activision, Vicarious Visions",4.1,"Play the fully-remastered Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 games in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered.",Simulator, Sport,498,498,2800,854,607
Need for Speed: Unbound,2022-11-29,"Criterion Games, Electronic Arts",3.5,"Race against time, outsmart the cops, and take on weekly qualifiers to reach The Grand, Lakeshore's ultimate street racing challenge. Pack your garage with precision-tuned, custom rides and light up the streets with your style, exclusive fits, and a vibrant global soundtrack that bumps in every corner of the world.",Racing,,84,84,294,150,209
Zero Escape: Zero Time Dilemma,2016-06-28,"Aksys Games, Spike ChunSoft",3.0,Zero Time Dilemma is the third and final entry in the Zero Escape series. It is a story focused mystery/thriller visual novel with multiple endings that involves player choices and puzzle rooms.,Adventure, Puzzle,350,350,2900,1200,402
Deus Ex: Mankind Divided,2016-08-23,Square Enix,3.5,"Deus Ex: Mankind Divided directly follows the aftermath of the Aug Incident, a day when mechanically augmented citizens all over the world were stripped of control over their minds and bodies, resulting in the deaths of millions of innocents. The year is now 2029, and the golden era of augmentations is over. Mechanically augmented humans have been deemed outcasts and segregated from the rest of society. Crime and acts of terror serve as a thin veil to cover up an overarching conspiracy aimed at controlling the future of mankind…",Adventure, RPG,387,387,3400,2000,458
Guitar Hero III: Legends of Rock,2007-10-28,"Neversoft Entertainment, Activision",3.9,"Rock out to the third entry in in Red Octane's music series for guitar gods! Songs for Guitar Hero III include Barracuda by Heart, Sabotage by Beastie Boys, Rock And Roll All Nite by Kiss, and much more! In addition, players can experience an incredible number of added features and explosive content including a new multiplayer action-inspired battle mode, grueling boss battles, a bevy of exclusive unlockable content and authentic rock venues.",Music, Simulator,489,489,6900,174,78
Sid Meier's Civilization VI,2016-10-20,"Firaxis Games, 2K Games",3.7,"Civilization is a turn-based strategy game in which you attempt to build an empire to stand the test of time. Become Ruler of the World by establishing and leading a civilization from the Stone Age to the Information Age. Wage war, conduct diplomacy, advance your culture, and go head-to-head with history’s greatest leaders as you attempt to build the greatest civilization the world has ever known.",Simulator, Strategy,343,343,4600,969,188
Nioh 2,2020-03-13,"Koei Tecmo Games, Team NINJA",4.0,"Master the lethal arts of the samurai as a mysterious half-human, half-supernatural Yokai warrior, in this challenging action RPG sequel. Explore violent Sengoku-era Japan and the deadly Dark Realm, both plagued with grotesque, merciless demons. Unsheathe your deadly weapons and cut down all enemies in your path using a revamped combat system and the ability to transform into a full Yokai to unleash devastating paranormal powers.",Adventure, Brawler,365,365,1400,1100,580
Gears of War,2006-11-07,"Microsoft Game Studios, Epic Games",3.5,"A third-person tactical shooter from Epic, running on the Unreal Engine 3. Gears of War thrusts gamers into a deep and harrowing story of humankind's epic battle for survival against the Locust Horde, a nightmarish race of creatures that surface from the bowels of the planet.
             

              Unlike other shooters, Gears of War is all about teamwork in a big way. All game modes, levels and scenarios are designed specifically to encourage co-operative play, whether it be with A.I. partners or human players (with A.I. teammates designed with specific strengths, weaknesses and personalities.) On top of that, voice recognition will be available for players, and obviously voice chat to discuss strategy with your friends. In addition to voice chat, gamers will be able to experience individualized matchmaking, view player statistics, earn player achievements, customize their games, and build and personalize their gamer profiles over Xbox Live.",Shooter,,522,522,5300,545,307
Final Fantasy Tactics,1997-06-20,"Sony Computer Entertainment, Inc. (SCEI), Square",4.2,Lead epic battles in a new FINAL FANTASY world. Betrayal and darker dealings await in Squaresoft's game of war. Fight hundreds of battles across dangerous 3D terrain as an ancient blood feud awakens a deadlier foe.,RPG, Strategy,506,506,2100,1600,681
Tekken 3,1997-03-22,"Namco, Namco Hometek",3.9,"Tekken 3 maintains the same core fighting system and concept as its predecessors, but brings many improvements, such as significantly more detailed graphics and animations, fifteen new characters added to the game's roster, more modern music and faster and more fluid gameplay.
              
              Perhaps the most noticeable change from Tekken 2 fight system is movement reform - whereas the element of depth had been largely insignificant in previous Tekken games (aside from some characters having unique sidesteps and dodging maneuvers), Tekken 3 added emphasis on the third axis, allowing all characters to sidestep in or out of the background by lightly pressing the arcade stick (or tapping the controller button in the console version) towards the corresponding direction. Another big change in movement was that jumping was toned down, no longer allowing fighters to jump to extreme heights (as was present in previous games), but keeping leaps to reasonable, realistic heights. It made air combat more controllable, and put more use to sidestep dodges, as jumping no longer became a universal dodge move that was flying above all of the ground moves. Other than that, the improved engine allowed for quick recoveries from knock-downs, more escapes from tackles and stuns, better juggling (as many old moves had changed parameters, allowing them to connect in combo-situations, where they wouldn't connect in previous games) and extra newly created combo throws.
             

              Tekken 3 was the first Tekken to feature a beat 'em up minigame called ""Tekken Force"", which pitted the player in various stages against enemies in a side-scrolling fashion. If the player succeeds in beating the minigame four times, Dr. Bosconovitch would be a playable character (granted that you defeat him first). This was continued in Tekken 4 and succeeded by the Devil Within minigame in Tekken 5 - but Boskonovitch was dropped as a playable character after Tekken 3. There is also a minigame ""Tekken Ball"", similar to beach volleyball, where one has to hit the ball with a powerful attack to hurt the opponent or try to hit the ball in such a way that it hits the ground in the opponent's area, thus causing damage.",Fighting,,564,564,4200,253,183
